lon,lat,depth,temperature,salinity
117.9939,86.8478,6.0,-1.7352,31.5947
133.3912,85.1366,6.0,-1.7831,32.4632
94.1075,87.6862,6.0,-1.7406,31.6713
94.2317,87.6584,6.0,-1.7428,31.7156
129.6301,85.5668,6.0,-1.7761,32.3552
135.6377,85.0723,6.0,-1.7758,32.3647
123.3682,85.9709,6.0,-1.7524,31.9515
115.8112,86.1216,6.0,-1.7771,32.354
116.4563,86.1625,6.0,-1.7801,32.4201
117.4422,86.2837,6.0,-1.7724,32.267
116.3339,86.8114,6.0,-1.7522,31.8937
120.0748,85.9468,6.0,-1.7767,32.3364
121.1331,85.9669,6.0,-1.7745,32.3427
111.649,86.8922,6.0,-1.7379,31.6441
133.292,85.0297,6.0,-1.7842,32.4708
115.259,86.8798,6.0,-1.7498,31.8691
120.2436,86.0117,6.0,-1.7647,32.1679
25.7544,87.5311,6.0,-1.8147,33.0638
-130.7914,78.1685,6.0,-1.5922,29.1064
-130.7886,78.1494,6.0,-1.5914,29.0994
-130.6163,78.0273,6.0,-1.5921,29.0827
-131.5752,78.3286,6.0,-1.5939,29.2546
-129.5252,78.2692,6.0,-1.6089,29.3884
-129.5312,78.2399,6.0,-1.6077,29.3629
-129.5061,78.1948,6.0,-1.608,29.3615
-129.505,78.1946,6.0,-1.6092,29.3728
-129.4788,78.244,6.0,-1.6316,29.759
-129.2832,78.1813,6.0,-1.631,29.7502
-129.3469,78.2695,6.0,-1.6327,29.7573
-144.5229,73.3413,6.0,-1.4892,27.3329
-131.5489,78.1776,6.0,-1.5665,28.7077
-125.8792,78.8557,6.0,-1.6502,30.1875
-125.8904,78.7125,6.0,-1.6516,30.1673
-125.8867,78.7161,6.0,-1.6547,30.2078
-131.494,78.0809,6.0,-1.5655,28.7128
-131.1235,78.0516,6.0,-1.5656,28.722
-125.8596,78.6374,6.0,-1.6538,30.2054
-125.9467,78.6124,6.0,-1.6472,30.1147
-146.2186,73.3877,6.0,-1.4834,1000.0
-127.4774,77.9889,6.0,-1.5373,29.8186
-132.0107,78.3137,6.0,-1.5881,29.0942
-130.7024,78.4825,6.0,-1.5932,29.1101
-133.972,80.3006,6.0,-1.6213,29.9436
-132.5031,80.5115,6.0,-1.6521,30.1863
-132.7103,80.4581,6.0,-1.6499,30.1529
-132.6295,80.4581,6.0,-1.65,30.159
-132.2397,80.4749,6.0,-1.6524,30.1898
-132.1948,80.4889,6.0,-1.6523,30.1851
-132.507,80.5517,6.0,-1.6504,30.1664
-133.3252,80.5887,6.0,-1.6457,30.0929
-133.5483,80.5872,6.0,-1.645,30.0878
-134.033,80.5305,6.0,-1.6444,30.0927
-133.2843,80.3531,6.0,-1.6485,30.1416
-132.5003,80.5858,6.0,-1.6523,30.1897
-132.3479,80.5785,6.0,-1.6518,30.1823
-131.3207,80.5944,6.0,-1.6564,30.2638
-131.1122,80.7233,6.0,-1.6577,30.2929
-131.0541,80.743,6.0,-1.6583,30.3036
-130.9542,80.7988,6.0,-1.656,30.2422
-130.8939,80.8034,6.0,-1.6557,30.2504
-130.6225,80.78,6.0,-1.6564,30.2666
-130.6113,80.7755,6.0,-1.6574,30.2681
-130.4473,80.7917,6.0,-1.66,30.3223
-130.4242,80.8129,6.0,-1.662,30.3353
-130.3894,80.8289,6.0,-1.6644,30.3694
-130.3894,80.8289,6.0,-1.6644,30.3717
-130.4938,80.8422,6.0,-1.663,30.3576
-130.4769,80.8339,6.0,-1.6629,30.3556
-130.3866,80.8313,6.0,-1.6621,30.3366
-130.3487,80.9317,6.0,-1.663,30.3582
-130.2228,80.9041,6.0,-1.6636,30.3708
-130.2099,80.9753,6.0,-1.6664,30.418
-130.2085,80.9766,6.0,-1.6664,30.4214
-129.6444,81.0649,6.0,-1.6684,30.454
-129.2444,81.1059,6.0,-1.6703,30.499
-129.075,81.2254,6.0,-1.6719,30.5163
-135.4054,80.4123,6.0,-1.6194,29.8015
-128.5873,81.2872,6.0,-1.6724,30.5299
-128.1804,81.3077,6.0,-1.6737,30.5471
-126.8566,81.5675,6.0,-1.6782,30.6294
-126.6753,81.5414,6.0,-1.679,30.6448
-126.6381,81.5792,6.0,-1.6791,30.6428
-126.6655,81.6269,6.0,-1.678,30.626
-126.6661,81.6738,6.0,-1.6782,30.6312
-125.6113,81.7727,6.0,-1.6786,30.6416
-125.2962,81.7513,6.0,-1.6796,30.6598
-125.3244,81.7657,6.0,-1.6796,30.6525
-125.4347,81.8194,6.0,-1.6764,30.6061
-125.5887,81.8505,6.0,-1.6753,30.6099
-125.6277,81.8524,6.0,-1.6758,30.5935
-125.6674,81.8474,6.0,-1.6761,30.6055
-135.9028,80.4416,6.0,-1.6323,30.0149
-126.616,81.7311,6.0,-1.676,30.5984
-125.704,81.7165,6.0,-1.6793,30.6474
-125.6119,81.7441,6.0,-1.6793,30.6459
-125.5298,81.722,6.0,-1.6782,30.6224
-125.5369,81.7317,6.0,-1.678,30.6267
-125.5097,81.7392,6.0,-1.6793,30.6447
-125.4212,81.7535,6.0,-1.6795,30.6518
-125.2782,81.6784,6.0,-1.6787,30.6428
-132.8228,80.2216,6.0,-1.629,29.8469
-125.2771,81.6787,6.0,-1.679,30.6426
-125.2811,81.6809,6.0,-1.6767,30.6116
-125.2801,81.6807,6.0,-1.6769,30.6106
-132.9739,80.2535,6.0,-1.6303,29.8792
-125.2818,81.6808,6.0,-1.6768,30.6094
-125.3037,81.679,6.0,-1.677,30.6045
-125.2206,81.6783,6.0,-1.6774,30.6188
-125.2228,81.6771,6.0,-1.6771,30.6119
-125.2236,81.6769,6.0,-1.6764,30.6189
-125.2824,81.6684,6.0,-1.6767,30.6166
-125.4069,81.6439,6.0,-1.6772,30.6205
-125.4138,81.6297,6.0,-1.6779,30.6247
-125.2512,81.6386,6.0,-1.6777,30.6409
-133.9425,80.4213,6.0,-1.6468,30.1488
-125.3089,81.6307,6.0,-1.6779,30.6417
-134.1313,80.4611,6.0,-1.6469,30.1448
-125.2197,81.763,6.0,-1.6777,30.6476
-134.183,80.4723,6.0,-1.6473,30.1576
-125.3066,81.818,6.0,-1.6775,1000.0
-125.2872,81.8152,6.0,-1.678,30.6632
-125.1412,81.7988,6.0,-1.678,30.6665
-125.199,81.7971,6.0,-1.6776,30.6758
-125.2499,81.816,6.0,-1.6765,30.6694
-125.2728,81.8212,6.0,-1.6771,30.6693
-125.3067,81.8271,6.0,-1.6779,30.6702
-125.313,81.828,6.0,-1.6778,30.672
-125.5488,81.8313,6.0,-1.6789,30.6895
-126.1246,81.8735,6.0,-1.6779,30.701
-125.7811,81.8665,6.0,-1.6795,30.7227
-125.675,81.8166,6.0,-1.6773,30.7139
-124.8828,81.9024,6.0,-1.6791,30.7385
-124.8186,81.975,6.0,-1.6771,30.7331
-124.9121,81.9868,6.0,-1.6712,30.7201
-126.0746,81.8922,6.0,-1.6662,30.6832
-134.2125,80.6006,6.0,-1.6504,30.2143
-126.5669,81.6857,6.0,-1.6517,30.6348
-126.5092,81.6812,6.0,-1.6522,30.6366
-133.9577,80.6084,6.0,-1.6529,30.2829
-134.4264,74.7842,6.0,-1.5304,28.1344
-133.9366,80.6053,6.0,-1.6533,30.2755
-125.4103,81.793,6.0,-1.6632,30.6732
-125.3372,81.7974,6.0,-1.6656,30.669
-126.1019,81.8291,6.0,-1.6241,30.6129
-126.1176,81.8163,6.0,-1.6269,30.6076
-126.1133,81.8125,6.0,-1.6312,30.6116
-125.1814,81.7283,6.0,-1.6382,30.6518
-125.0042,81.6968,6.0,-1.6313,30.6559
-125.5739,81.5456,6.0,-1.6072,30.6223
-126.048,81.5426,6.0,-1.5834,30.5885
-126.0723,81.5344,6.0,-1.576,30.582
-126.3207,81.497,6.0,-1.5592,30.5813
-133.1624,80.6924,6.0,-1.6537,30.2616
-127.4965,81.5283,6.0,-1.5601,30.5127
-127.3668,81.5098,6.0,-1.5225,30.5015
-127.4046,81.5127,6.0,-1.5277,30.5075
-127.1874,81.6724,6.0,-1.542,30.381
-127.6272,81.769,6.0,-1.5043,30.3265
-127.8422,81.8064,6.0,-1.5148,30.2215
-128.7068,81.7457,6.0,-1.5143,30.2132
