lon,lat,depth,temperature,salinity
155.7944,89.6132,6.0,-1.6779,30.6566
155.7944,89.6132,7.0,-1.6776,30.6563
155.7944,89.6132,8.0,-1.6777,30.6562
155.7944,89.6132,9.0,-1.6778,30.6566
155.7944,89.6132,10.0,-1.6778,30.657
155.7944,89.6132,11.0,-1.6779,30.6571
155.7944,89.6132,12.0,-1.6778,30.6569
155.7944,89.6132,13.0,-1.6777,30.6567
155.7944,89.6132,14.0,-1.6777,30.6564
155.7944,89.6132,15.0,-1.6775,30.6563
155.7944,89.6132,16.0,-1.6776,30.6564
155.7944,89.6132,17.0,-1.6775,30.6565
155.7944,89.6132,18.0,-1.6776,30.6565
155.7944,89.6132,19.0,-1.6776,30.6567
155.7944,89.6132,20.0,-1.6777,30.6568
155.7944,89.6132,21.0,-1.6777,30.6569
155.7944,89.6132,22.0,-1.6775,30.6569
155.7944,89.6132,23.0,-1.6776,30.657
155.7944,89.6132,24.0,-1.6775,30.657
155.7944,89.6132,25.0,-1.6776,30.6572
155.7944,89.6132,26.0,-1.6776,30.6572
155.7944,89.6132,27.0,-1.6776,30.6574
155.7944,89.6132,28.0,-1.6776,30.6576
155.7944,89.6132,29.0,-1.6776,30.658
155.7944,89.6132,30.0,-1.6777,30.6585
155.7944,89.6132,31.0,-1.6776,30.6593
155.7944,89.6132,32.0,-1.6775,30.671
155.7944,89.6132,33.0,-1.6773,30.8244
155.7944,89.6132,34.0,-1.6801,31.0154
155.7944,89.6132,35.0,-1.6799,31.2281
155.7944,89.6132,36.0,-1.6792,31.4171
155.7944,89.6132,37.0,-1.6777,31.4701
155.7944,89.6132,38.0,-1.6774,31.543
155.7944,89.6132,39.0,-1.6771,31.678
155.7944,89.6132,40.0,-1.6719,31.7887
155.7944,89.6132,41.0,-1.6618,31.8936
155.7944,89.6132,42.0,-1.6548,31.9526
155.7944,89.6132,43.0,-1.6276,32.1004
155.7944,89.6132,44.0,-1.6303,32.2055
155.7944,89.6132,45.0,-1.6326,32.2671
155.7944,89.6132,46.0,-1.611,32.3811
155.7944,89.6132,47.0,-1.6186,32.4743
155.7944,89.6132,48.0,-1.6256,32.5127
155.7944,89.6132,49.0,-1.6184,32.565
155.7944,89.6132,50.0,-1.6146,32.629
155.7944,89.6132,51.0,-1.6113,32.6768
155.7944,89.6132,52.0,-1.6087,32.7317
155.7944,89.6132,53.0,-1.6023,32.8327
155.7944,89.6132,54.0,-1.6081,32.9038
155.7944,89.6132,55.0,-1.6103,32.9134
155.7944,89.6132,56.0,-1.6094,32.9627
155.7944,89.6132,57.0,-1.6114,33.0156
155.7944,89.6132,58.0,-1.6115,33.0489
155.7944,89.6132,59.0,-1.6082,33.0976
155.7944,89.6132,60.0,-1.6056,33.1259
155.7944,89.6132,61.0,-1.6019,33.1764
155.7944,89.6132,62.0,-1.5964,33.204
155.7944,89.6132,63.0,-1.5953,33.221
155.7944,89.6132,64.0,-1.5879,33.2495
155.7944,89.6132,65.0,-1.5788,33.2754
155.7944,89.6132,66.0,-1.5604,33.3484
155.7944,89.6132,67.0,-1.5466,33.3987
155.7944,89.6132,68.0,-1.5322,33.4296
155.7944,89.6132,69.0,-1.5208,33.4638
155.7944,89.6132,70.0,-1.5159,33.4969
155.7944,89.6132,71.0,-1.5049,33.5369
155.7944,89.6132,72.0,-1.4776,33.5856
155.7944,89.6132,73.0,-1.4729,33.6108
155.7944,89.6132,74.0,-1.473,33.635
155.7944,89.6132,75.0,-1.4743,33.6501
155.7944,89.6132,76.0,-1.486,33.6875
155.7944,89.6132,77.0,-1.4855,33.7119
155.7944,89.6132,78.0,-1.507,33.7761
155.7944,89.6132,79.0,-1.5352,33.8039
155.7944,89.6132,80.0,-1.57,33.8197
155.7944,89.6132,81.0,-1.5845,33.8354
155.7944,89.6132,82.0,-1.5855,33.8504
155.7944,89.6132,83.0,-1.5745,33.879
155.7944,89.6132,84.0,-1.5622,33.91
155.7944,89.6132,85.0,-1.5591,33.9198
155.7944,89.6132,86.0,-1.5552,33.9439
155.7944,89.6132,87.0,-1.5125,33.9524
155.7944,89.6132,88.0,-1.4471,33.9556
155.7944,89.6132,89.0,-1.389,33.9691
155.7944,89.6132,90.0,-1.3376,33.9934
155.7944,89.6132,91.0,-1.3516,34.0094
155.7944,89.6132,92.0,-1.3509,34.0179
155.7944,89.6132,93.0,-1.3412,34.031
155.7944,89.6132,94.0,-1.4077,34.0417
155.7944,89.6132,95.0,-1.5161,34.0656
155.7944,89.6132,96.0,-1.4342,34.067
155.7944,89.6132,97.0,-1.5009,34.0805
155.7944,89.6132,98.0,-1.5118,34.0893
155.7944,89.6132,99.0,-1.5127,34.0982
155.7944,89.6132,100.0,-1.5028,34.105
155.7944,89.6132,101.0,-1.4991,34.1126
155.7944,89.6132,102.0,-1.4942,34.1179
155.7944,89.6132,103.0,-1.4873,34.126
155.7944,89.6132,104.0,-1.4793,34.135
155.7944,89.6132,105.0,-1.4699,34.1487
155.7944,89.6132,106.0,-1.4649,34.1602
155.7944,89.6132,107.0,-1.4574,34.1717
155.7944,89.6132,108.0,-1.4488,34.1789
155.7944,89.6132,109.0,-1.4439,34.1833
155.7944,89.6132,110.0,-1.4402,34.1884
155.7944,89.6132,111.0,-1.4257,34.1996
155.7944,89.6132,112.0,-1.4079,34.2095
155.7944,89.6132,113.0,-1.4058,34.2216
155.7944,89.6132,114.0,-1.4079,34.2255
155.7944,89.6132,115.0,-1.3968,34.2353
155.7944,89.6132,116.0,-1.3737,34.2455
155.7944,89.6132,117.0,-1.3553,34.2529
155.7944,89.6132,118.0,-1.3378,34.2596
155.7944,89.6132,119.0,-1.3123,34.2717
155.7944,89.6132,120.0,-1.291,34.2804
155.7944,89.6132,121.0,-1.2696,34.2898
155.7944,89.6132,122.0,-1.2554,34.2944
155.7944,89.6132,123.0,-1.24,34.2992
155.7944,89.6132,124.0,-1.2187,34.3076
155.7944,89.6132,125.0,-1.1867,34.3164
155.7944,89.6132,126.0,-1.1677,34.3221
155.7944,89.6132,127.0,-1.1559,34.3275
155.7944,89.6132,128.0,-1.145,34.3336
155.7944,89.6132,129.0,-1.0994,34.3421
155.7944,89.6132,130.0,-1.0389,34.349
155.7944,89.6132,131.0,-1.0337,34.3546
155.7944,89.6132,132.0,-0.9089,34.372
155.7944,89.6132,133.0,-0.8905,34.3752
155.7944,89.6132,134.0,-0.8887,34.3756
155.7944,89.6132,135.0,-0.883,34.375
155.7944,89.6132,136.0,-0.8745,34.3769
155.7944,89.6132,137.0,-0.8425,34.3833
155.7944,89.6132,138.0,-0.8143,34.3902
155.7944,89.6132,139.0,-0.797,34.3954
155.7944,89.6132,140.0,-0.7876,34.4013
155.7944,89.6132,141.0,-0.7649,34.402
155.7944,89.6132,142.0,-0.8062,34.4042
155.7944,89.6132,143.0,-0.8221,34.4071
155.7944,89.6132,144.0,-0.8101,34.4132
155.7944,89.6132,145.0,-0.7665,34.4146
155.7944,89.6132,146.0,-0.7406,34.424
155.7944,89.6132,147.0,-0.7095,34.4264
155.7944,89.6132,148.0,-0.6789,34.4326
155.7944,89.6132,149.0,-0.6591,34.439
155.7944,89.6132,150.0,-0.6131,34.4484
155.7944,89.6132,151.0,-0.5531,34.4554
155.7944,89.6132,152.0,-0.5214,34.4617
155.7944,89.6132,153.0,-0.4968,34.4673
155.7944,89.6132,154.0,-0.4948,34.4706
155.7944,89.6132,155.0,-0.4973,34.4721
155.7944,89.6132,156.0,-0.4994,34.4764
155.7944,89.6132,157.0,-0.4759,34.4811
155.7944,89.6132,158.0,-0.4268,34.487
155.7944,89.6132,159.0,-0.4141,34.4903
155.7944,89.6132,160.0,-0.4202,34.4926
155.7944,89.6132,161.0,-0.4133,34.4969
155.7944,89.6132,162.0,-0.383,34.4998
155.7944,89.6132,163.0,-0.3675,34.5065
155.7944,89.6132,164.0,-0.3492,34.513
155.7944,89.6132,165.0,-0.2992,34.5167
155.7944,89.6132,166.0,-0.2934,34.521
155.7944,89.6132,167.0,-0.2862,34.5231
155.7944,89.6132,168.0,-0.2499,34.5316
155.7944,89.6132,169.0,-0.2118,34.5396
155.7944,89.6132,170.0,-0.1427,34.5501
155.7944,89.6132,171.0,-0.1131,34.5575
155.7944,89.6132,172.0,-0.067,34.5649
155.7944,89.6132,173.0,-0.0725,34.5693
155.7944,89.6132,174.0,-0.0793,34.5707
155.7944,89.6132,175.0,-0.037,34.578
155.7944,89.6132,176.0,-0.0354,34.5801
155.7944,89.6132,177.0,-0.0599,34.581
155.7944,89.6132,178.0,-0.0076,34.587
155.7944,89.6132,179.0,0.0057,34.5896
155.7944,89.6132,180.0,0.0047,34.588
155.7944,89.6132,181.0,0.02,34.5918
155.7944,89.6132,182.0,0.0672,34.6008
155.7944,89.6132,183.0,0.0836,34.6061
155.7944,89.6132,184.0,0.1189,34.6102
155.7944,89.6132,185.0,0.1334,34.6144
155.7944,89.6132,186.0,0.1422,34.6196
155.7944,89.6132,187.0,0.1735,34.6236
155.7944,89.6132,188.0,0.1809,34.6256
155.7944,89.6132,189.0,0.1908,34.6341
155.7944,89.6132,190.0,0.259,34.6373
155.7944,89.6132,191.0,0.2668,34.6415
155.7944,89.6132,192.0,0.28,34.6466
155.7944,89.6132,193.0,0.2705,34.6473
155.7944,89.6132,194.0,0.2535,34.6497
155.7944,89.6132,195.0,0.2721,34.6509
155.7944,89.6132,196.0,0.256,34.6547
155.7944,89.6132,197.0,0.2539,34.6555
155.7944,89.6132,198.0,0.2697,34.6602
155.7944,89.6132,199.0,0.2846,34.6663
155.7944,89.6132,200.0,0.3139,34.6709
155.7944,89.6132,201.0,0.333,34.6753
155.7944,89.6132,202.0,0.3505,34.68
155.7944,89.6132,203.0,0.3956,34.6868
155.7944,89.6132,204.0,0.4482,34.6929
155.7944,89.6132,205.0,0.4813,34.6985
155.7944,89.6132,206.0,0.5141,34.7037
155.7944,89.6132,207.0,0.5241,34.7072
155.7944,89.6132,208.0,0.5135,34.7109
155.7944,89.6132,209.0,0.5236,34.7158
155.7944,89.6132,210.0,0.5566,34.7229
155.7944,89.6132,211.0,0.6108,34.7308
155.7944,89.6132,212.0,0.6273,34.7383
155.7944,89.6132,213.0,0.653,34.7438
155.7944,89.6132,214.0,0.6833,34.7491
155.7944,89.6132,215.0,0.7064,34.7539
155.7944,89.6132,216.0,0.7278,34.7578
155.7944,89.6132,217.0,0.7427,34.7603
155.7944,89.6132,218.0,0.7508,34.7649
155.7944,89.6132,219.0,0.7737,34.7699
155.7944,89.6132,220.0,0.7936,34.7748
155.7944,89.6132,221.0,0.8149,34.7774
155.7944,89.6132,222.0,0.8251,34.7794
155.7944,89.6132,223.0,0.8487,34.7836
155.7944,89.6132,224.0,0.8812,34.7908
155.7944,89.6132,225.0,0.9403,34.798
155.7944,89.6132,226.0,0.9639,34.8015
155.7944,89.6132,227.0,0.9653,34.8032
155.7944,89.6132,228.0,0.9622,34.8033
155.7944,89.6132,229.0,0.9651,34.8039
155.7944,89.6132,230.0,0.9808,34.8067
155.7944,89.6132,231.0,0.9972,34.8096
155.7944,89.6132,232.0,0.9956,34.8098
155.7944,89.6132,233.0,0.989,34.8089
155.7944,89.6132,234.0,0.9747,34.8089
155.7944,89.6132,235.0,0.9686,34.8084
155.7944,89.6132,236.0,0.9668,34.8082
155.7944,89.6132,237.0,0.9664,34.8082
155.7944,89.6132,238.0,0.9661,34.8084
155.7944,89.6132,239.0,0.9655,34.8084
155.7944,89.6132,240.0,0.9651,34.8085
155.7944,89.6132,241.0,0.9652,34.8088
155.7944,89.6132,242.0,0.9643,34.8089
155.7944,89.6132,243.0,0.9585,34.8088
155.7944,89.6132,244.0,0.9545,34.8086
155.7944,89.6132,245.0,0.9453,34.8084
155.7944,89.6132,246.0,0.94,34.8081
155.7944,89.6132,247.0,0.9387,34.8072
155.7944,89.6132,248.0,0.942,34.8086
155.7944,89.6132,249.0,0.9547,34.8112
155.7944,89.6132,250.0,0.9624,34.813
